2025-06-01T10:12:01 | INFO     | trading_bot.cli | CLI invoked – command=place
2025-06-01T10:12:01 | INFO     | trading_bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2025-06-01T10:12:01 | DEBUG    | trading_bot.validators | Validating order params – symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop=None
2025-06-01T10:12:01 | DEBUG    | trading_bot.validators | Symbol validated: BTCUSDT
2025-06-01T10:12:01 | DEBUG    | trading_bot.validators | Side validated: BUY
2025-06-01T10:12:01 | DEBUG    | trading_bot.validators | Order type validated: MARKET
2025-06-01T10:12:01 | DEBUG    | trading_bot.validators | Quantity validated: 0.001
2025-06-01T10:12:01 | INFO     | trading_bot.validators | Validation passed – BUY MARKET BTCUSDT qty=0.001
2025-06-01T10:12:01 | INFO     | trading_bot.orders | Order request – symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop=None
2025-06-01T10:12:01 | INFO     | trading_bot.client | Placing BUY MARKET BTCUSDT qty=0.001 price=None stopPrice=None
2025-06-01T10:12:01 | DEBUG    | trading_bot.client | -> POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1748772721843, 'recvWindow': 5000}
2025-06-01T10:12:02 | DEBUG    | trading_bot.client | <- HTTP 200 | {"orderId":4020267671,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"ios7AhKXtEUb1DkxAtDqzS","price":"0","avgPrice":"67284.50000","origQty":"0.001","executedQty":"0.001","cumQty":"0.001","cumQuote":"67.28450","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","updateTime":1748772722104}
2025-06-01T10:12:02 | INFO     | trading_bot.client | Order placed – orderId=4020267671 status=FILLED executedQty=0.001 avgPrice=67284.50000
2025-06-01T10:12:02 | INFO     | trading_bot.orders | Order response – orderId=4020267671 status=FILLED executedQty=0.001 avgPrice=67284.50000
2025-06-01T10:15:34 | INFO     | trading_bot.cli | CLI invoked – command=place
2025-06-01T10:15:34 | INFO     | trading_bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2025-06-01T10:15:34 | DEBUG    | trading_bot.validators | Validating order params – symbol=ETHUSDT side=SELL type=LIMIT qty=0.05 price=3200 stop=None
2025-06-01T10:15:34 | DEBUG    | trading_bot.validators | Symbol validated: ETHUSDT
2025-06-01T10:15:34 | DEBUG    | trading_bot.validators | Side validated: SELL
2025-06-01T10:15:34 | DEBUG    | trading_bot.validators | Order type validated: LIMIT
2025-06-01T10:15:34 | DEBUG    | trading_bot.validators | Quantity validated: 0.05
2025-06-01T10:15:34 | DEBUG    | trading_bot.validators | Price validated: 3200
2025-06-01T10:15:34 | INFO     | trading_bot.validators | Validation passed – SELL LIMIT ETHUSDT qty=0.05
2025-06-01T10:15:34 | INFO     | trading_bot.orders | Order request – symbol=ETHUSDT side=SELL type=LIMIT qty=0.05 price=3200 stop=None
2025-06-01T10:15:34 | INFO     | trading_bot.client | Placing SELL LIMIT ETHUSDT qty=0.05 price=3200 stopPrice=None
2025-06-01T10:15:34 | DEBUG    | trading_bot.client | -> POST /fapi/v1/order  params={'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.05', 'price': '3200', 'timeInForce': 'GTC', 'timestamp': 1748772934519, 'recvWindow': 5000}
2025-06-01T10:15:35 | DEBUG    | trading_bot.client | <- HTTP 200 | {"orderId":892041122,"symbol":"ETHUSDT","status":"NEW","clientOrderId":"x5TrKwqVNzLmYuQ3pGjhEA","price":"3200.00","avgPrice":"0.00000","origQty":"0.050","executedQty":"0.000","cumQty":"0.000","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1748772935201}
2025-06-01T10:15:35 | INFO     | trading_bot.client | Order placed – orderId=892041122 status=NEW executedQty=0.000 avgPrice=0.00000
2025-06-01T10:15:35 | INFO     | trading_bot.orders | Order response – orderId=892041122 status=NEW executedQty=0.000 avgPrice=0.00000
2025-06-01T10:18:09 | INFO     | trading_bot.cli | CLI invoked – command=place
2025-06-01T10:18:09 | INFO     | trading_bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2025-06-01T10:18:09 | DEBUG    | trading_bot.validators | Validating order params – symbol=BTCUSDT side=SELL type=STOP_MARKET qty=0.001 price=None stop=58000
